"year","name_of_company","statistical_region","waste_code","type_of_waste","waste_category","total_waste_received","waste_received_from_producer","waste_received_from_other_producer","waste_received_from_collector","waste_received_from_processing_operator","waste_received_from_other_EU_country","waste_received_from_other_country_outside_EU"
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",4099.153,0.48,1200.875,2637.238,260.56,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",36.226,0,36.226,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",60.26,0,60.26,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1012.16,0,817.38,194.78,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",6081.77,0,4561.812,1199.55,320.408,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1974.38,0,1877.46,96.92,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",347.54,0,347.54,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",564,0,0,552.56,11.44,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6480.909,1.05,2660.177,2184.462,1635.22,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",297.72,0,297.72,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",4864.89,0,978.03,1490.72,2396.14,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",823.993,0,607.433,216.56,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",154.754,0,154.754,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POMURSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",7.38,0,7.38,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",154.617,0.03,154.587,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2.239,0,2.239,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",403.422,0,403.422,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",820.006,0,650.426,169.58,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",130.32,0,129.44,0.88,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",155.845,0,155.845,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1.34,0,1.34,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",8.22,0,8.22,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",45.68,0,45.68,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","03 01 99","Other Unspecified Wood Waste (03 01 99)","Wood/Paper Production Waste",1550.26,0,1550.26,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",55.815,0,55.815,0,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5439.131,0,2652.924,2786.207,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1947.258,0,1015.175,932.083,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",19.99,0,16.62,3.37,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",161.975,0,58.5,103.475,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3150.888,0.25,2292.536,347.042,511.06,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",234.583,0,57.493,177.09,0,0,0
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",23.72,0,23.72,0,0,0,0
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",764.91,0,587.55,177.36,0,0,0
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",7107.523,0,167.6,2070.413,4869.51,0,0
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",2027.888,0,1526.819,450.889,50.18,0,0
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",70.318,0,0,0,70.318,0,0
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",13973.307,0,2236.38,4264.947,7471.98,0,0
2019,"TOPLARNA ŽELEZNIKI, proizvodnja in distribucija toplotne energije, d.o.o.","GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",2012.104,0,1999.704,12.4,0,0,0
2019,"TOPLARNA ŽELEZNIKI, proizvodnja in distribucija toplotne energije, d.o.o.","GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",35.14,0,35.14,0,0,0,0
2019,"TOPLARNA ŽELEZNIKI, proizvodnja in distribucija toplotne energije, d.o.o.","GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",294.14,0,0,294.14,0,0,0
2019,"TOPLARNA ŽELEZNIKI, proizvodnja in distribucija toplotne energije, d.o.o.","GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",3784.59,0,0,1230,2554.59,0,0
2019,"VAUKAN posredništvo, trgovina in storitve d.o.o.","SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.85,0,0,0.85,0,0,0
2019,"VAUKAN posredništvo, trgovina in storitve d.o.o.","SAVINJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3.18,0,3.18,0,0,0,0
2019,"VAČO varovanje okolja d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",21.253,0,21.253,0,0,0,0
2019,"VAČO varovanje okolja d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1115.826,0,1115.826,0,0,0,0
2019,"VAČO varovanje okolja d.o.o.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2.693,0,2.693,0,0,0,0
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",14221,14221,0,0,0,0,0
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3624.324,0,361.562,37.924,3224.838,0,0
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",232,232,0,0,0,0,0
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",52620.98,0,0,129.281,4971.955,27864.821,19654.923
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",163476.081,4,3848.877,1052.351,18605.949,133993.191,5971.713
2019,"ZIMICELL rešitve pri nizkoenergijski gradnji d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",199.538,0,199.538,0,0,0,0
2019,"ZIPOS zbiranje in predelava odpadnih surovin d.o.o.","GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",25.844,0,25.844,0,0,0,0
