year,statistical_region,type_of_waste,waste_category,treatment_process,waste_for_processing
2018,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_13,226.085
2018,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,14.17
2018,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,5.36
2018,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,229.96
2018,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1586.128
2018,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_13,4.677
2018,PODRAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",1.92
2018,PODRAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_13,2.8
2018,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,1494.967
2018,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",29.755
2018,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,1098.483
2018,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,D_10,1.79
2018,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",7774.179
2018,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,D_10,34.448
2018,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,1555.309
2018,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",8102.882
2018,PODRAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,5257.92
2018,PODRAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",281.208
2018,PODRAVSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_0302,429.18
2018,PODRAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_03,567.06
2018,PODRAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",953.0939999999999
2018,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,D_10,7.08
2018,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_0302,1.14
2018,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",452.475
2018,POMURSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,1556.17
2018,POMURSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",3688.908
2018,POMURSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",589.34
2018,POMURSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",3627.8689999999997
2018,POMURSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",2460.795
2018,POMURSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,D_10,0.96
2018,POMURSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",302.898
2018,POMURSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",1664.558
2018,POMURSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",315.734
2018,POSAVSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,R_01,25367
2018,POSAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1913.895
2018,POSAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",0.26
2018,POSAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,631.952
2018,POSAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1775.0700000000002
2018,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,147736.732
2018,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,19352.065
2018,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",729.999
2018,POSAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,48449.155
2018,POSAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_12,2266.463
2018,POSAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",376.657
2018,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,170
2018,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",82.63
2018,PRIMORSKO-NOTRANJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",261.393
2018,PRIMORSKO-NOTRANJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,607.5
2018,PRIMORSKO-NOTRANJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",9.208
2018,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,8.94
2018,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_03,15
2018,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,17350.35
2018,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",22.127
2018,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,D_01,13.38
2018,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,138
2018,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_12,15.14
2018,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",57.562
2018,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_01,2137.4
2018,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,70
2018,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,673.469
2018,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",42.238
2018,SAVINJSKA,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,"R_12, R_13",1802.77
2018,SAVINJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",17467.087
2018,SAVINJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",6524.700999999999
2018,SAVINJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,25.64
2018,SAVINJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",119.7
2018,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,106.85
2018,SAVINJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",196.137
2018,SAVINJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_03,773.683
2018,SAVINJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1302.982
2018,SAVINJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_01,2120.6
2018,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,PU,0.12
2018,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,801.84
2018,SAVINJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",3932.322
2018,ZASAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1052.13
2018,ZASAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",137.54
2018,ZASAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",5.9750000000000005
2018,ZASAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",64.328
2019,GORENJSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,"R_12, R_13",20.8
2019,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,6809.168
2019,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,19.772
2019,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_00,2.275
2019,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",935.588
2019,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_01,294.14
2019,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,471.4
2019,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",150.06
2019,GORENJSKA,Forestry Waste (02 01 07),Agricultural/Forestry Waste,"R_12, R_13",0.1
2019,GORENJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",1757.431
2019,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,144.153
2019,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",5903.916
2019,GORENJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",5926.305
2019,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,1558.974
2019,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",202.048
2019,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,2012.104
2019,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",1562.2069999999999
2019,GORENJSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",422.673
2019,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_01,3784.59
2019,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",11.086
2019,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,35.14
2019,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",4418.446
2019,GORIŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,344.929
2019,GORIŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",8.99
2019,GORIŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,605
2019,GORIŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",76.64
2019,GORIŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,4.69
2019,GORIŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",22.08
2019,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_0101,10.98
2019,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",2322.2219999999998
2019,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_0101,16.96
2019,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",1083.88
2019,GORIŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_0101,16.28
2019,GORIŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",25.46
2019,GORIŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",643.614
2019,JUGOVZHODNA SLOVENIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,1438.54
2019,JUGOVZHODNA SLOVENIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",2072.04
2019,JUGOVZHODNA SLOVENIJA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",125.75999999999999
2019,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",228.582
2019,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,21.85
2019,JUGOVZHODNA SLOVENIJA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",6709.429
2019,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",2428.3160000000003
2019,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",57.001000000000005
2019,JUGOVZHODNA SLOVENIJA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",1914.213
2019,JUGOVZHODNA SLOVENIJA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",2225.565
2019,JUGOVZHODNA SLOVENIJA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",11.05
2019,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",3246.384
2019,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,R_13,49.869
2019,KOROŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",2515.549
2019,KOROŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,5
2019,KOROŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1382.255
2019,KOROŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",909.409
2019,KOROŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",177.018
2019,KOROŠKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,300
2019,KOROŠKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",19.82
2019,KOROŠKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1364.66
2019,KOROŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",135.858
2019,OBALNO-KRAŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",4.45
2019,OBALNO-KRAŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",94.16999999999999
2019,OBALNO-KRAŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",1151.52
2019,OBALNO-KRAŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",4024.581
2019,OBALNO-KRAŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",1416.6309999999999
2019,OBALNO-KRAŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,891.1400000000001
2019,OBALNO-KRAŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",27.516
2019,OBALNO-KRAŠKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",45.5
2019,OBALNO-KRAŠKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",12.58
2019,OBALNO-KRAŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",753.6610000000001
2019,OSREDNJESLOVENSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,"R_12, R_13",117.77000000000001
2019,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,1.78
2019,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_03,669.5699999999999
2019,OSREDNJESLOVENSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",17087.065
2019,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_03,631.229
2019,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,507.765
2019,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_12,1435.8090000000002
2019,OSREDNJESLOVENSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",1487.6109999999999
2019,OSREDNJESLOVENSKA,Forestry Waste (02 01 07),Agricultural/Forestry Waste,R_03,71.94
2019,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,10450.707999999999
2019,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,708.64
2019,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,11613.519
2019,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",14963.207999999999
2019,OSREDNJESLOVENSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,8.66
2019,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,456.965
2019,OSREDNJESLOVENSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",48225.381
2019,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,D_13,0.121
2019,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,59256.129
2019,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",91026.15
2019,OSREDNJESLOVENSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,199.538
2019,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,83714.194
2019,OSREDNJESLOVENSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",7614.544
2019,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_03,683.37
2019,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_0302,9
2019,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_12,273.74
2019,OSREDNJESLOVENSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",1741.52
2019,OSREDNJESLOVENSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_03,7241.095
2019,OSREDNJESLOVENSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",7748.465999999999
2019,OSREDNJESLOVENSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_03,30.928
2019,OSREDNJESLOVENSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_12,39.39
2019,OSREDNJESLOVENSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",0.088
2019,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,PU,422.4
2019,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,217.57
2019,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_03,4694.168
2019,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_0302,76.9
2019,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_05,281.2
2019,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_12,2414.135
2019,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",9044.144
2019,OSREDNJESLOVENSKA,Wooden Packaging (15 01 03),Packaging Waste,R_13,24.792
2019,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_09,25.95
2019,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,5.04
2019,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,2907.2599999999998
2019,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",6498.4220000000005
2019,PODRAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_13,67.76
2019,PODRAVSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",347.54
2019,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,2900.85
2019,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",376.94000000000005
2019,PODRAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_13,1321.206
2019,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,D_10,2.42
2019,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,316.185
2019,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",11930.130000000001
2019,PODRAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_13,2.618
2019,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,D_10,34.4
2019,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,1875.298
2019,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,111.26599999999999
2019,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",13557.671
2019,PODRAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_13,1.52
2019,PODRAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,3033.96
2019,PODRAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",1046.57
2019,PODRAVSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_0302,85.14
2019,PODRAVSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",60.26
2019,PODRAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_03,60.31
2019,PODRAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,R_12,194.78
2019,PODRAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",1246.718
2019,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,D_10,3.29
2019,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_12,0.21
2019,PODRAVSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",2349.0370000000003
2019,POMURSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",4716.009
2019,POMURSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",7.38
2019,POMURSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",712.8
2019,POMURSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",3327.867
2019,POMURSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",2317.828
2019,POMURSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,D_10,0.411
2019,POMURSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",23.22
2019,POMURSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",1914.6
2019,POMURSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",422.249
2019,POSAVSKA,Bark and Wood Waste from Pulp/Paper Production (03 03 01),Wood/Paper Production Waste,R_01,14221
2019,POSAVSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1489.13
2019,POSAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,566.363
2019,POSAVSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",430
2019,POSAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,3624.324
2019,POSAVSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",3285.475
2019,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,147241.769
2019,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,16187.285
2019,POSAVSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",640.375
2019,POSAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,50169.503
2019,POSAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_12,2583.322
2019,POSAVSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",84.25
2019,POSAVSKA,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",403.422
2019,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,232
2019,POSAVSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",133.2
2019,PRIMORSKO-NOTRANJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_05,29.66
2019,PRIMORSKO-NOTRANJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",276.71
2019,PRIMORSKO-NOTRANJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,513.25
2019,PRIMORSKO-NOTRANJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",32.24
2019,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,PU,9.48
2019,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_03,15
2019,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,16211.886
2019,SAVINJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",59.98
2019,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,D_01,21.32
2019,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_12,0.14
2019,SAVINJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",560.75
2019,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_01,30.02
2019,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_03,70
2019,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_12,975.617
2019,SAVINJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",1404.363
2019,SAVINJSKA,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,"R_12, R_13",1550.26
